# Omega_m h n_s S_8 logf_R0
1.499999999999999944e-01 5.964338465692011759e-01 9.399999999999999467e-01 6.500000000000000222e-01 -7.000000000000000000e+00
3.000000000000000444e-01 6.984745282876581030e-01 9.649999999999999689e-01 8.000000000000000444e-01 -5.500000000000000000e+00
3.750000000000000000e-01 6.486858510352553342e-01 9.524999999999999023e-01 7.249999999999999778e-01 -4.750000000000000000e+00
2.250000000000000056e-01 7.481013003300792663e-01 9.775000000000000355e-01 8.750000000000000000e-01 -6.250000000000000000e+00
2.625000000000000111e-01 6.731915810242318221e-01 9.712499999999999467e-01 9.124999999999999778e-01 -5.875000000000000000e+00
4.125000000000000888e-01 7.739983752234140812e-01 9.462499999999999245e-01 7.624999999999999556e-01 -4.375000000000000000e+00
3.375000000000000222e-01 6.234811173593821643e-01 9.837500000000000133e-01 8.374999999999999112e-01 -5.125000000000000000e+00
1.875000000000000000e-01 7.226421428803241342e-01 9.587499999999999911e-01 6.875000000000000000e-01 -6.625000000000000000e+00
2.062499999999999889e-01 6.601539363640648306e-01 9.868749999999999467e-01 7.812500000000000000e-01 -5.312500000000000000e+00
3.562500000000000666e-01 7.613210615580853213e-01 9.618749999999999245e-01 9.312499999999999112e-01 -6.812500000000000000e+00
4.312500000000000222e-01 6.112873236285744083e-01 9.743749999999999911e-01 7.062500000000000444e-01 -6.062500000000000000e+00
2.812500000000000000e-01 7.109013253922407127e-01 9.493749999999999689e-01 8.562499999999999556e-01 -4.562500000000000000e+00
2.437500000000000222e-01 6.354373367802359507e-01 9.556249999999999467e-01 8.187499999999999778e-01 -4.187500000000000000e+00
3.937500000000000444e-01 7.363972115472757762e-01 9.806249999999999689e-01 6.687500000000000666e-01 -5.687500000000000000e+00
3.187499999999999778e-01 6.860381963584426535e-01 9.431249999999999911e-01 8.937499999999999334e-01 -6.437500000000000000e+00
1.687500000000000111e-01 7.850883118524996096e-01 9.681250000000000133e-01 7.437500000000000222e-01 -4.937500000000000000e+00
1.781250000000000056e-01 6.911556120323842922e-01 9.634374999999999467e-01 8.468750000000000444e-01 -6.156250000000000000e+00
3.281250000000000000e-01 7.925204011945206073e-01 9.884374999999999689e-01 6.968750000000000222e-01 -4.656250000000000000e+00
4.031250000000000666e-01 6.425157317924403699e-01 9.509374999999999911e-01 9.218750000000000000e-01 -5.406250000000000000e+00
2.531250000000000444e-01 7.420482918505181269e-01 9.759375000000000133e-01 7.718749999999999778e-01 -6.906250000000000000e+00
2.906250000000000222e-01 6.169679180981501032e-01 9.821874999999999911e-01 7.343750000000000000e-01 -6.531250000000000000e+00
4.406250000000000444e-01 7.177388663229102850e-01 9.571874999999999689e-01 8.843749999999999112e-01 -5.031250000000000000e+00
3.656250000000000333e-01 6.674399861782125409e-01 9.696874999999999245e-01 6.593750000000000444e-01 -4.281250000000000000e+00
2.156250000000000111e-01 7.668170880711847603e-01 9.446874999999999023e-01 8.093749999999999556e-01 -5.781250000000000000e+00
